Region,Trump_Search_Percentage,Harris_Search_Percentage
Pennsylvania,65,35
Wisconsin,64,36
Maine,66,34
Vermont,65,35
New Hampshire,68,32
Delaware,64,36
Michigan,64,36
New Jersey,68,32
Minnesota,66,34
Connecticut,68,32
Rhode Island,68,32
Oregon,67,33
Montana,69,31
West Virginia,70,30
Arizona,66,34
Nevada,67,33
Massachusetts,66,34
North Carolina,57,43
Colorado,67,33
Washington,67,33
Idaho,69,31
Illinois,65,35
New York,68,32
New Mexico,68,32
Ohio,67,33
Florida,68,32
Maryland,61,39
Virginia,63,37
Iowa,67,33
Kentucky,68,32
Tennessee,67,33
Missouri,66,34
Georgia,62,38
Nebraska,68,32
Wyoming,70,30
Kansas,67,33
Indiana,65,35
Alaska,69,31
Oklahoma,67,33
South Carolina,61,39
Hawaii,68,32
North Dakota,70,30
South Dakota,69,31
California,65,35
Arkansas,66,34
Alabama,64,36
Utah,67,33
Louisiana,65,35
Texas,59,41
Mississippi,64,36
