Date,Trump_Search,Harris_Search
2024-08-11,6,5
2024-08-12,6,5
2024-08-13,9,4
2024-08-14,6,4
2024-08-15,5,4
2024-08-16,5,4
2024-08-17,5,4
2024-08-18,5,4
2024-08-19,5,4
2024-08-20,6,5
2024-08-21,7,6
2024-08-22,7,6
2024-08-23,8,11
2024-08-24,7,5
2024-08-25,5,4
2024-08-26,5,4
2024-08-27,5,4
2024-08-28,5,4
2024-08-29,6,5
2024-08-30,5,6
2024-08-31,5,3
2024-09-01,5,3
2024-09-02,4,3
2024-09-03,4,3
2024-09-04,5,3
2024-09-05,5,3
2024-09-06,5,3
2024-09-07,4,3
2024-09-08,4,3
2024-09-09,5,4
2024-09-10,7,5
2024-09-11,22,17
2024-09-12,10,6
2024-09-13,8,5
2024-09-14,7,4
2024-09-15,21,4
2024-09-16,17,3
2024-09-17,8,3
2024-09-18,7,3
2024-09-19,7,3
2024-09-20,5,4
2024-09-21,5,4
2024-09-22,5,3
2024-09-23,5,3
2024-09-24,5,3
2024-09-25,5,4
2024-09-26,4,3
2024-09-27,5,3
2024-09-28,4,3
2024-09-29,5,3
2024-09-30,5,3
2024-10-01,5,3
2024-10-02,6,3
2024-10-03,5,3
2024-10-04,5,3
2024-10-05,6,3
2024-10-06,5,3
2024-10-07,5,4
2024-10-08,5,4
2024-10-09,5,3
2024-10-10,5,3
2024-10-11,6,3
2024-10-12,5,3
2024-10-13,7,3
2024-10-14,7,3
2024-10-15,7,4
2024-10-16,6,5
2024-10-17,6,6
2024-10-18,7,4
2024-10-19,6,4
2024-10-20,8,4
2024-10-21,8,5
2024-10-22,7,4
2024-10-23,8,5
2024-10-24,8,5
2024-10-25,9,5
2024-10-26,11,5
2024-10-27,12,5
2024-10-28,13,5
2024-10-29,11,6
2024-10-30,11,6
2024-10-31,10,5
2024-11-01,11,5
2024-11-02,11,5
2024-11-03,13,7
2024-11-04,14,8
2024-11-05,31,16
2024-11-06,100,48
2024-11-07,36,8
2024-11-08,24,4
2024-11-09,20,4
2024-11-10,16,3
